시도명,구시군명,기권율_이전회_pct,투표율_이전회_pct,기권율_전전회_pct,투표율_전전회_pct,기권율_증가_pct,청년_20대_투표율_pct,장년_30-40대_투표율_pct,중년_50-60대_투표율_pct,고령_70대이상_투표율_pct,세대격차_pct,청년인구비율_pct,장년인구비율_pct,중년인구비율_pct,고령인구비율_pct,기권의향률_pct,정치무관심률_pct,효능감_평균,정책인지_평균,공정선거인식_평균,기권율_Y_pct
서울특별시,종로구,45.57,54.43,39.84,60.16,5.73,42.35,45.4,60.3,65.05,22.7,15.77,27.8,31.43,12.45,4.46,15.22,4.01,2.38,2.28,45.57
서울특별시,중구,46.16,53.84,40.83,59.17,5.33,38.4,44.699999999999996,60.3,67.45,29.05,14.81,30.39,31.11,12.65,4.46,15.22,4.01,2.38,2.28,46.16
서울특별시,용산구,47.36,52.64,41.98,58.02,5.38,40.95,43.0,62.75,63.1,22.15,14.56,32.01,29.45,11.13,4.46,15.22,4.01,2.38,2.28,47.36
서울특별시,성동구,44.54,55.46,40.35,59.65,4.19,41.7,47.63333333333333,64.85,66.35,24.65,15.06,31.39,29.47,10.35,4.46,15.22,4.01,2.38,2.28,44.54
서울특별시,광진구,48.6,51.4,41.47,58.53,7.13,37.5,42.5,61.599999999999994,66.0,28.5,18.1,30.85,28.9,9.39,4.46,15.22,4.01,2.38,2.28,48.6
서울특별시,동대문구,48.03,51.97,41.22,58.78,6.81,39.4,41.43333333333333,61.400000000000006,66.2,26.8,16.75,28.89,29.55,11.85,4.46,15.22,4.01,2.38,2.28,48.03
서울특별시,중랑구,49.05,50.95,43.49,56.51,5.56,37.0,39.666666666666664,59.849999999999994,66.05000000000001,29.05,13.92,29.18,33.0,11.52,4.46,15.22,4.01,2.38,2.28,49.05
서울특별시,성북구,46.66,53.34,40.46,59.54,6.2,41.45,44.23333333333333,61.25,64.5,23.05,15.2,29.07,29.38,11.16,4.46,15.22,4.01,2.38,2.28,46.66
서울특별시,강북구,50.25,49.75,44.36,55.64,5.89,40.297916666666666,44.49444444444444,63.02291666666667,65.53958333333334,25.241666666666664,13.7,26.83,33.21,14.24,4.46,15.22,4.01,2.38,2.28,50.25
서울특별시,도봉구,47.11,52.89,40.64,59.36,6.47,40.2,40.36666666666667,61.25,66.05000000000001,25.85,12.91,26.76,34.07,12.87,4.46,15.22,4.01,2.38,2.28,47.11
서울특별시,노원구,44.5,55.5,37.98,62.02,6.52,43.2,46.06666666666666,65.8,65.65,22.45,13.66,28.16,31.04,10.89,4.46,15.22,4.01,2.38,2.28,44.5
서울특별시,은평구,48.38,51.62,42.34,57.66,6.04,39.3,44.13333333333333,61.650000000000006,62.650000000000006,23.35,13.68,29.66,30.68,11.95,4.46,15.22,4.01,2.38,2.28,48.38
서울특별시,서대문구,45.91,54.09,39.09,60.91,6.82,39.8,47.9,64.1,65.5,25.7,16.03,29.22,29.1,11.61,4.46,15.22,4.01,2.38,2.28,45.91
서울특별시,마포구,46.07,53.93,38.37,61.63,7.7,44.45,48.666666666666664,63.85,65.6,21.15,16.65,33.27,26.26,9.61,4.46,15.22,4.01,2.38,2.28,46.07
서울특별시,양천구,44.59,55.41,37.73,62.27,6.86,42.6,47.833333333333336,65.85,63.5,20.9,12.7,29.4,30.72,9.32,4.46,15.22,4.01,2.38,2.28,44.59
서울특별시,강서구,48.29,51.71,40.35,59.65,7.94,38.349999999999994,43.20000000000001,61.9,64.25,25.9,14.86,32.6,28.55,9.81,4.46,15.22,4.01,2.38,2.28,48.29
서울특별시,구로구,46.82,53.18,39.92,60.08,6.9,40.95,44.0,59.9,65.7,24.75,13.56,30.69,30.27,11.41,4.46,15.22,4.01,2.38,2.28,46.82
서울특별시,금천구,50.28,49.72,43.44,56.56,6.84,35.349999999999994,39.0,57.25,65.1,29.75,16.13,29.6,31.99,11.02,4.46,15.22,4.01,2.38,2.28,50.28
서울특별시,영등포구,46.74,53.26,39.75,60.25,6.99,42.05,46.93333333333334,63.55,64.95,22.9,15.54,33.12,27.73,10.49,4.46,15.22,4.01,2.38,2.28,46.74
서울특별시,동작구,45.57,54.43,37.37,62.63,8.2,39.95,46.633333333333326,65.1,66.6,26.65,16.83,30.5,28.18,11.14,4.46,15.22,4.01,2.38,2.28,45.57
서울특별시,관악구,49.62,50.38,40.97,59.03,8.65,36.3,42.5,64.05000000000001,66.45,30.15,22.44,31.02,26.04,10.64,4.46,15.22,4.01,2.38,2.28,49.62
서울특별시,서초구,44.0,56.0,36.92,63.08,7.08,42.150000000000006,47.133333333333326,67.1,69.1,26.95,12.5,32.45,27.08,9.19,4.46,15.22,4.01,2.38,2.28,44.0
서울특별시,강남구,46.43,53.57,41.49,58.51,4.94,40.7,43.800000000000004,67.65,66.9,26.2,13.12,32.76,27.06,9.12,4.46,15.22,4.01,2.38,2.28,46.43
서울특별시,송파구,44.99,55.01,37.12,62.88,7.87,41.650000000000006,46.6,66.2,66.2,24.55,13.54,32.46,28.79,8.76,4.46,15.22,4.01,2.38,2.28,44.99
