시도명,구시군명,기권율_이전회_pct,투표율_이전회_pct,기권율_전전회_pct,투표율_전전회_pct,기권율_증가_pct,청년_20대_투표율_pct,장년_30-40대_투표율_pct,중년_50-60대_투표율_pct,고령_70대이상_투표율_pct,세대격차_pct,청년인구비율_pct,장년인구비율_pct,중년인구비율_pct,고령인구비율_pct,기권의향률_pct,정치무관심률_pct,효능감_평균,정책인지_평균,공정선거인식_평균,기권율_Y_pct
서울특별시,종로구,45.57,54.43,45.57,54.43,,42.35,45.4,60.3,65.05,22.7,14.64,27.76,31.89,14.38,7.2,41.6,3.99,1.93,3.14,
서울특별시,중구,46.16,53.84,46.16,53.84,,38.4,44.7,60.3,67.45,29.05,13.19,31.74,30.21,14.88,7.2,41.6,3.99,1.93,3.14,
서울특별시,용산구,47.36,52.64,47.36,52.64,,40.95,43.0,62.75,63.1,22.15,12.89,32.9,29.74,12.42,7.2,41.6,3.99,1.93,3.14,
서울특별시,성동구,44.54,55.46,44.54,55.46,,41.7,47.63333333333333,64.85,66.35,24.65,13.66,31.96,29.55,12.24,7.2,41.6,3.99,1.93,3.14,
서울특별시,광진구,48.6,51.4,48.6,51.4,,37.5,42.5,61.6,66.0,28.5,16.42,31.05,29.2,11.79,7.2,41.6,3.99,1.93,3.14,
서울특별시,동대문구,48.03,51.97,48.03,51.97,,39.4,41.43333333333333,61.400000000000006,66.2,26.8,15.79,29.54,28.91,13.4,7.2,41.6,3.99,1.93,3.14,
서울특별시,중랑구,49.05,50.95,49.05,50.95,,37.0,39.66666666666666,59.85,66.05000000000001,29.05,11.78,29.07,33.35,14.74,7.2,41.6,3.99,1.93,3.14,
서울특별시,성북구,46.66,53.34,46.66,53.34,,41.45,44.23333333333333,61.25,64.5,23.05,14.73,27.49,30.57,13.39,7.2,41.6,3.99,1.93,3.14,
서울특별시,강북구,50.25,49.75,50.25,49.75,,40.297916666666666,44.49444444444444,63.02291666666667,65.53958333333334,25.241666666666664,12.11,25.18,34.53,17.61,7.2,41.6,3.99,1.93,3.14,
서울특별시,도봉구,47.11,52.89,47.11,52.89,,40.2,40.36666666666667,61.25,66.05000000000001,25.85,10.93,25.52,35.1,16.7,7.2,41.6,3.99,1.93,3.14,
